year,city,country,avg_temp
1984,Barcelona,Venezuela,26.26
1985,Barcelona,Venezuela,25.75
1986,Barcelona,Venezuela,26.32
1987,Barcelona,Venezuela,27.12
1988,Barcelona,Venezuela,26.40
1989,Barcelona,Venezuela,26.17
1990,Barcelona,Venezuela,26.64
1991,Barcelona,Venezuela,26.42
1992,Barcelona,Venezuela,26.43
1993,Barcelona,Venezuela,26.59
1994,Barcelona,Venezuela,26.34
1995,Barcelona,Venezuela,26.64
1996,Barcelona,Venezuela,26.45
1997,Barcelona,Venezuela,26.55
1998,Barcelona,Venezuela,27.12
1999,Barcelona,Venezuela,26.53
2000,Barcelona,Venezuela,26.25
2001,Barcelona,Venezuela,26.66
2002,Barcelona,Venezuela,26.93
2003,Barcelona,Venezuela,26.91
2004,Barcelona,Venezuela,26.55
2005,Barcelona,Venezuela,27.02
2006,Barcelona,Venezuela,26.83
2007,Barcelona,Venezuela,26.90
2008,Barcelona,Venezuela,26.77
2009,Barcelona,Venezuela,27.06
2010,Barcelona,Venezuela,27.46
2011,Barcelona,Venezuela,26.89
2012,Barcelona,Venezuela,26.89
2013,Barcelona,Venezuela,26.96
